b,g,r,pele
101,96,157,2
146,148,96,2
145,165,230,1
146,148,96,2
76,83,126,1
99,150,223,1
56,55,41,2
124,160,224,1
174,172,124,2
74,78,29,2
105,105,57,2
178,175,130,2
147,150,101,2
5,6,4,2
84,92,132,1
62,61,35,2
118,155,217,1
90,136,214,1
81,86,131,1
183,180,136,2
157,161,125,2
202,201,163,2
189,190,146,2
143,153,217,1
185,183,143,2
182,179,135,2
160,168,227,1
9,8,4,2
155,193,255,1
31,51,32,2
154,156,110,2
53,56,24,2
145,144,88,2
205,215,255,1
228,214,84,2
43,85,130,1
70,109,184,1
151,178,222,1
92,195,220,2
170,186,229,1
179,176,132,2
170,171,132,2
223,188,222,2
120,152,218,1
61,118,180,1
85,44,255,2
135,137,101,2
136,139,90,2
97,146,222,1
126,165,217,1
174,190,237,1
45,102,153,1
81,89,129,1
207,192,176,2
175,172,127,2
123,163,216,1
120,152,223,1
188,189,150,2
174,188,230,1
81,89,129,1
198,194,159,2
168,181,237,1
44,84,132,1
111,150,229,1
57,115,174,1
179,176,132,2
155,193,255,1
91,28,14,2
157,180,236,1
168,165,114,2
97,148,221,1
78,93,142,1
160,185,241,1
145,165,236,1
177,177,153,2
158,172,224,1
148,152,111,2
98,93,68,2
69,72,56,2
164,176,218,1
92,91,35,2
10,29,14,2
64,116,169,1
83,85,33,2
204,213,255,1
167,184,227,1
98,147,223,1
135,161,228,1
200,198,163,2
191,190,152,2
3,1,1,2
116,117,67,2
198,198,158,2
120,158,216,1
178,177,133,2
82,91,129,1
81,78,27,2
192,192,152,2
181,181,135,2
55,106,169,1
90,138,204,1
186,184,144,2
180,177,133,2
198,196,161,2
179,176,131,2
138,183,250,1
55,60,21,2
80,83,34,2
137,138,82,2
57,58,42,2
173,187,236,1
48,94,142,1
0,1,2,2
132,131,75,2
181,178,134,2
20,11,192,2
178,175,131,2
56,99,142,1
133,139,192,1
154,195,255,1
186,184,144,2
89,135,219,1
171,170,120,2
172,170,122,2
174,191,230,1
31,32,6,2
182,195,239,1
199,198,160,2
115,144,218,1
139,179,244,1
246,248,249,2
41,45,16,2
166,182,224,1
104,110,163,1
21,22,2,2
164,199,233,1
54,122,189,1
201,200,162,2
109,115,168,1
0,255,255,2
102,103,53,2
163,162,112,2
181,179,138,2
54,55,21,2
159,161,119,2
132,135,90,2
0,132,102,2
102,101,45,2
90,139,215,1
42,94,154,1
52,52,16,2
57,79,214,2
58,118,184,1
43,90,142,1
3,3,0,2
127,169,216,1
158,195,255,1
134,162,227,1
169,182,234,1
168,165,114,2
62,62,62,2
56,97,146,1
172,171,121,2
109,160,230,1
87,119,194,1
170,184,237,1
139,138,82,2
180,180,134,2
96,143,224,1
198,198,158,2
136,139,90,2
145,172,236,1
27,83,62,2
91,140,216,1
109,115,168,1
195,193,152,2
164,163,112,2
156,166,113,2
46,100,155,1
48,116,255,2
166,162,114,2
61,57,63,2
10,11,9,2
157,163,128,2
202,201,163,2
193,193,153,2
134,169,225,1
87,182,215,2
62,62,22,2
127,166,218,1
189,162,142,2
54,55,21,2
137,138,104,2
101,146,214,1
142,141,90,2
153,191,255,1
160,181,232,1
121,158,220,1
136,143,100,2
62,79,130,1
177,174,129,2
172,171,121,2
202,213,255,1
186,185,141,2
181,180,136,2
193,194,154,2
128,157,226,1
76,75,37,2
152,192,255,1
174,191,240,1
137,177,229,1
171,169,128,2
149,181,230,1
51,56,17,2
87,86,30,2
179,176,132,2
142,184,251,1
56,60,25,2
57,73,132,1
176,172,123,2
80,86,129,1
117,117,53,2
202,212,252,1
114,160,218,1
168,184,230,1
176,174,126,2
90,88,34,2
123,126,181,1
109,149,214,1
54,106,166,1
60,108,172,1
187,171,125,2
50,101,163,1
200,209,252,1
55,56,22,2
54,109,170,1
61,123,187,1
71,82,120,1
121,158,218,1
184,179,134,2
73,120,174,1
119,123,176,1
59,117,182,1
98,154,225,1
74,85,123,1
57,94,144,1
49,49,13,2
196,195,157,2
137,95,24,2
186,184,143,2
228,157,90,2
147,144,89,2
141,164,232,1
174,172,124,2
49,47,46,2
168,182,235,1
47,102,153,1
199,197,162,2
117,155,209,1
197,196,158,2
200,198,163,2
85,137,213,1
55,100,151,1
62,128,123,2
66,74,51,2
79,81,35,2
170,184,237,1
116,150,210,1
137,140,91,2
55,56,22,2
62,62,22,2
160,197,255,1
199,199,159,2
58,113,170,1
49,99,145,1
154,192,255,1
0,255,0,2
46,47,38,2
183,182,132,2
177,174,129,2
167,180,236,1
148,148,100,2
62,62,22,2
120,160,225,1
206,216,255,1
162,157,118,2
77,77,29,2
127,130,185,1
48,49,17,2
49,53,17,2
201,200,162,2
43,90,146,1
15,13,3,2
73,85,125,1
178,179,137,2
88,127,196,1
131,161,226,1
101,153,224,1
166,182,229,1
200,210,250,1
133,136,91,2
4,0,184,2
137,180,231,1
41,98,150,1
182,180,132,2
124,83,88,2
151,169,230,1
125,163,217,1
175,172,127,2
141,144,95,2
153,191,255,1
15,7,184,2
123,153,104,2
145,148,99,2
61,122,188,1
165,165,117,2
98,136,190,1
103,151,223,1
83,89,132,1
79,85,128,1
116,150,210,1
121,127,78,2
173,187,239,1
198,198,158,2
179,192,244,1
118,103,154,2
47,94,138,1
151,166,215,1
78,89,127,1
201,199,164,2
135,131,82,2
200,198,163,2
128,132,91,2
138,141,92,2
68,69,25,2
128,159,228,1
61,106,150,1
58,47,204,2
72,75,26,2
192,205,255,1
175,189,242,1
63,62,42,2
165,163,115,2
103,150,224,1
55,104,172,1
52,46,235,2
200,198,163,2
160,163,117,2
172,188,235,1
176,179,184,2
47,94,138,1
37,96,255,2
178,177,133,2
169,172,116,2
89,133,255,2
125,169,230,1
80,89,127,1
248,250,250,2
115,155,213,1
136,173,223,1
117,167,227,1
72,71,33,2
68,70,24,2
104,118,230,2
110,116,169,1
48,93,137,1
107,108,64,2
167,188,239,1
107,113,166,1
174,175,131,2
143,181,246,1
2,1,3,2
57,121,185,1
166,164,110,2
120,122,176,1
202,212,252,1
160,164,123,2
44,98,158,1
146,145,111,2
134,137,87,2
148,191,255,1
114,154,213,1
111,139,170,1
180,180,134,2
180,178,137,2
40,35,10,2
125,132,187,1
152,193,255,1
114,150,120,2
199,197,163,2
255,146,110,2
93,142,222,1
160,158,110,2
171,186,232,1
201,210,253,1
237,218,83,2
129,166,218,1
172,170,122,2
133,176,227,1
43,115,179,1
184,201,250,1
164,163,113,2
137,174,248,1
191,190,152,2
151,193,255,1
47,99,255,2
189,188,144,2
79,82,33,2
151,122,107,2
118,152,218,1
148,162,228,1
54,108,169,1
98,137,222,1
41,42,10,2
168,182,234,1
55,56,22,2
153,165,229,1
83,110,177,1
48,49,10,2
138,139,89,2
179,178,122,2
42,88,135,1
201,199,164,2
76,84,124,1
237,199,164,2
117,154,214,1
79,88,126,1
161,165,130,2
218,223,255,1
168,182,235,1
185,186,142,2
108,114,167,1
16,14,3,2
88,29,10,2
57,62,23,2
103,117,230,2
13,12,0,2
175,174,123,2
99,147,219,1
169,184,230,1
88,101,153,1
82,136,197,1
95,146,219,1
158,162,127,2
205,204,170,2
68,94,134,1
173,184,234,1
134,132,78,2
194,192,168,2
158,162,126,2
99,138,212,1
46,45,11,2
157,183,230,1
181,178,134,2
171,170,120,2
125,128,183,1
22,36,18,2
157,159,107,2
49,80,141,1
168,144,98,2
120,152,218,1
106,112,165,1
171,170,119,2
119,115,87,2
179,176,132,2
137,124,132,2
180,178,130,2
159,171,229,1
137,163,230,1
45,31,19,2
224,210,198,2
64,65,23,2
135,172,224,1
55,56,24,2
106,112,165,1
5,1,7,2
178,179,135,2
49,69,127,1
52,50,9,2
51,100,162,1
176,177,127,2
181,178,134,2
127,158,227,1
163,177,230,1
53,105,151,1
140,180,245,1
170,186,233,1
249,242,225,2
151,188,250,1
195,194,150,2
143,180,254,1
164,160,112,2
82,90,130,1
187,186,142,2
156,174,233,1
49,48,34,2
179,176,132,2
169,186,237,1
171,170,119,2
183,181,133,2
108,107,46,2
128,77,91,2
196,195,157,2
45,95,148,1
173,170,125,2
169,182,238,1
255,255,255,2
69,71,25,2
116,154,219,1
116,115,57,2
109,142,211,1
197,195,160,2
112,152,210,1
109,149,197,1
65,122,191,1
0,0,255,2
230,214,207,2
77,84,127,1
62,123,187,1
152,190,254,1
65,94,133,1
166,186,234,1
118,156,220,1
167,163,114,2
179,176,131,2
199,197,162,2
59,110,173,1
95,81,58,2
184,182,142,2
175,173,125,2
149,162,230,1
59,79,137,1
184,181,136,2
140,145,100,2
171,165,122,2
172,186,234,1
52,103,166,1
39,39,9,2
172,171,121,2
38,42,7,2
201,200,162,2
62,109,171,1
56,97,146,1
140,180,245,1
142,145,96,2
92,142,224,1
110,106,57,2
121,140,191,1
139,179,244,1
118,122,70,2
68,84,143,1
141,181,246,1
85,83,29,2
68,67,33,2
203,211,255,1
169,165,140,2
33,103,170,2
180,179,135,2
179,177,129,2
131,132,188,1
41,44,12,2
106,158,225,1
173,189,232,1
205,215,255,1
97,147,223,1
52,129,121,2
198,196,161,2
2,160,254,2
45,41,40,2
177,174,129,2
81,89,129,1
59,113,166,1
173,172,121,2
56,60,24,2
197,196,158,2
47,109,180,1
83,92,130,1
173,177,142,2
55,59,23,2
167,163,115,2
62,125,193,1
119,156,218,1
20,17,3,2
138,150,156,2
198,196,162,2
111,153,220,1
155,158,119,2
105,147,214,1
148,164,230,1
171,170,119,2
71,80,124,1
140,143,93,2
132,80,64,2
52,46,235,2
101,148,222,1
136,169,225,1
255,131,93,2
57,100,151,1
2,1,0,2
150,184,227,1
180,177,132,2
147,183,253,1
193,190,146,2
160,206,159,2
138,138,90,2
69,71,29,2
171,185,233,1
203,201,167,2
19,16,1,2
130,132,90,2
179,176,132,2
121,153,218,1
139,139,85,2
149,187,252,1
175,173,125,2
70,117,179,1
71,80,123,1
82,90,130,1
174,175,131,2
70,73,23,2
178,183,128,2
87,132,213,1
172,188,241,1
157,161,126,2
208,216,253,1
43,41,23,2
165,182,225,1
121,155,215,1
157,161,125,2
95,150,225,1
66,69,23,2
52,95,144,1
167,168,124,2
61,117,172,1
179,176,132,2
107,60,76,2
151,153,101,2
167,186,237,1
99,99,45,2
180,195,244,1
179,177,129,2
156,159,114,2
23,25,19,2
53,57,22,2
176,84,125,2
62,98,146,1
2,0,0,2
174,172,124,2
130,172,231,1
10,8,0,2
2,1,0,2
161,164,125,2
120,155,221,1
101,135,194,1
197,197,157,2
144,163,238,1
97,101,154,1
59,98,150,1
69,70,26,2
100,98,44,2
53,103,156,1
1,2,0,2
79,114,188,1
112,147,203,1
182,179,135,2
84,93,131,1
160,176,223,1
11,8,4,2
175,172,127,2
97,140,221,1
159,196,255,1
7,19,145,2
159,158,107,2
83,112,179,1
201,200,162,2
48,66,129,1
117,152,218,1
156,155,105,2
54,95,144,1
74,79,124,1
160,163,124,2
206,214,254,1
78,115,189,1
177,175,127,2
192,191,153,2
8,7,3,2
12,9,5,2
188,186,146,2
199,197,162,2
36,85,57,2
9,8,0,2
48,91,142,1
66,130,201,1
173,172,122,2
158,195,255,1
5,4,0,2
130,130,130,2
59,105,169,1
13,10,5,2
120,153,222,1
55,56,22,2
172,168,120,2
210,168,215,2
94,103,153,1
81,89,129,1
38,88,141,1
79,89,129,1
61,62,20,2
53,53,41,2
185,184,140,2
63,64,20,2
9,10,0,2
68,121,184,1
182,179,134,2
24,80,59,2
121,153,218,1
204,?,169,2
110,109,51,2
164,163,113,2
52,93,142,1
180,177,132,2
129,160,221,1
115,117,171,1
203,211,251,1
255,255,254,2
55,56,22,2
90,68,247,2
143,140,85,2
110,212,207,2
206,201,168,2
192,190,150,2
163,178,227,1
5,5,0,2
113,149,213,1
52,56,20,2
54,55,21,2
170,169,119,2
240,159,144,2
206,130,188,2
123,155,220,1
18,12,13,2
116,115,57,2
138,134,85,2
119,76,89,2
28,29,20,2
94,86,149,2
0,177,2,2
158,163,124,2
53,57,22,2
117,119,173,1
116,153,209,1
198,194,159,2
135,138,89,2
143,178,228,1
21,19,1,2
177,178,136,2
129,172,221,1
56,60,24,2
157,174,230,1
186,161,127,2
149,184,228,1
51,98,152,1
138,141,86,2
132,136,94,2
103,149,226,1
98,97,37,2
189,205,251,1
35,82,144,1
156,173,216,1
234,217,77,2
104,153,227,1
183,182,138,2
149,151,99,2
199,198,160,2
162,164,122,2
17,17,1,2
246,251,250,2
115,160,227,1
134,176,223,1
117,140,166,1
163,178,227,1
167,163,114,2
255,255,255,2
55,95,143,1
157,194,255,1
136,139,90,2
121,157,217,1
78,129,199,1
130,130,130,2
62,79,142,1
181,147,58,2
138,179,228,1
157,187,234,1
0,0,255,2
128,130,84,2
58,105,161,1
202,200,170,2
90,87,143,2
152,167,230,1
84,92,132,1
196,194,163,2
182,181,137,2
143,134,100,2
203,213,253,1
255,255,255,2
121,120,62,2
120,122,63,2
97,148,218,1
169,185,231,1
177,175,127,2
102,99,44,2
131,131,91,2
135,171,219,1
155,157,115,2
169,183,236,1
100,95,156,2
148,192,253,1
33,34,32,2
63,120,176,1
137,140,91,2
48,103,148,1
7,8,0,2
157,194,254,1
37,165,88,2
83,134,196,1
126,126,126,2
129,131,89,2
91,138,222,1
130,174,228,1
53,57,22,2
180,178,137,2
199,197,162,2
132,135,90,2
59,58,30,2
185,182,137,2
177,179,127,2
46,97,160,1
199,197,162,2
175,173,125,2
146,179,229,1
125,125,65,2
201,210,253,1
145,145,99,2
137,174,230,1
164,163,113,2
195,192,154,2
181,179,138,2
91,125,195,1
80,121,190,1
176,176,130,2
131,171,219,1
112,161,223,1
151,150,99,2
178,175,131,2
35,0,140,2
153,154,110,2
180,177,132,2
227,228,232,2
173,170,125,2
179,177,129,2
136,162,228,1
55,110,167,1
139,174,230,1
113,116,66,2
191,187,146,2
156,176,217,1
181,178,134,2
55,53,19,2
153,191,255,1
7,191,1,2
14,13,0,2
4,0,72,2
0,0,171,2
54,55,21,2
115,151,215,1
146,188,247,1
55,54,26,2
41,44,12,2
81,86,125,1
119,151,217,1
130,165,221,1
156,159,109,2
157,156,105,2
106,154,226,1
158,159,119,2
4,252,255,2
51,53,17,2
60,118,183,1
161,162,123,2
191,203,207,2
157,157,117,2
128,255,255,2
144,146,94,2
174,174,128,2
115,114,58,2
180,171,128,2
68,68,32,2
105,156,226,1
117,227,251,2
127,147,182,1
195,194,156,2
145,142,91,2
92,10,0,2
98,138,191,1
152,190,254,1
198,196,166,2
180,178,130,2
162,190,254,1
116,154,208,1
95,196,194,2
152,190,254,1
119,151,210,1
173,172,122,2
158,159,119,2
65,101,155,1
67,69,27,2
199,212,220,2
117,152,220,1
183,181,133,2
178,176,135,2
57,62,23,2
58,58,44,2
121,154,223,1
100,100,46,2
66,67,23,2
142,144,102,2
138,123,131,2
177,176,126,2
153,191,255,1
113,150,210,1
181,179,131,2
136,140,88,2
178,175,131,2
0,128,0,2
145,146,106,2
197,195,160,2
167,183,236,1
106,103,52,2
56,79,141,1
158,160,114,2
108,151,218,1
179,177,129,2
166,162,114,2
90,31,15,2
23,23,5,2
54,105,168,1
157,161,125,2
54,55,21,2
199,197,163,2
162,166,131,2
97,101,152,1
74,80,127,1
141,178,222,1
120,160,212,1
114,117,172,1
127,167,219,1
152,128,106,2
64,66,36,2
61,65,24,2
173,188,234,1
163,162,111,2
179,177,129,2
83,111,141,1
74,87,125,1
182,183,143,2
56,72,131,1
134,129,252,2
57,55,155,2
177,174,130,2
165,164,114,2
117,142,204,1
102,147,221,1
175,172,127,2
133,178,245,1
107,105,51,2
128,178,238,2
54,55,21,2
109,112,63,2
101,147,224,1
0,0,1,2
5,3,3,2
53,93,141,1
103,156,229,1
134,143,207,1
110,116,169,1
7,2,177,2
159,168,231,1
180,177,132,2
151,189,253,1
163,162,112,2
179,178,134,2
88,52,28,2
141,142,86,2
148,158,218,1
164,170,135,2
130,162,221,1
187,192,193,2
109,154,222,1
137,177,219,1
51,101,153,1
220,203,194,2
153,190,246,1
12,9,5,2
190,191,147,2
114,235,244,2
146,188,247,1
55,55,25,2
137,177,226,1
56,78,144,1
51,71,129,1
136,138,192,1
206,217,255,1
53,21,234,2
140,139,88,2
154,158,123,2
178,175,131,2
127,1,126,2
132,163,232,1
57,62,23,2
85,94,132,1
165,161,112,2
152,190,254,1
132,172,224,1
168,182,235,1
145,188,251,1
108,109,59,2
177,176,126,2
159,160,104,2
164,178,230,1
47,89,136,1
97,99,53,2
169,180,232,1
67,119,179,1
147,144,93,2
51,49,31,2
113,112,56,2
146,183,251,1
52,54,18,2
151,164,232,1
180,180,134,2
31,67,50,2
178,175,131,2
69,84,123,1
196,204,251,1
176,174,126,2
176,171,172,2
118,139,170,1
171,169,121,2
140,176,222,1
83,102,163,1
164,163,113,2
172,142,95,2
201,199,164,2
82,90,130,1
100,148,220,1
199,197,162,2
175,172,127,2
9,7,0,2
55,60,21,2
148,161,223,1
1,79,239,2
48,103,148,1
154,97,219,2
153,156,111,2
49,91,138,1
182,179,135,2
83,112,181,1
177,176,132,2
99,130,193,1
178,174,133,2
124,147,173,1
8,45,73,2
162,178,231,1
138,144,209,1
201,200,162,2
104,110,163,1
71,72,176,2
55,100,151,1
33,95,77,2
133,164,219,1
74,83,126,1
107,150,207,1
44,9,230,2
13,6,3,2
237,228,224,2
149,187,251,1
112,157,208,1
85,186,241,2
105,139,193,1
198,198,158,2
54,55,23,2
181,178,134,2
141,183,242,1
58,59,20,2
179,177,129,2
197,195,161,2
56,103,154,1
197,208,252,1
198,196,162,2
164,162,122,2
201,200,162,2
103,96,157,2
55,117,177,1
177,77,107,2
34,36,7,2
70,131,199,1
76,78,49,2
201,199,164,2
162,159,114,2
94,132,190,1
67,69,27,2
200,195,164,2
109,230,249,2
121,158,216,1
50,92,145,1
178,175,131,2
86,121,189,1
4,4,0,2
201,199,164,2
65,65,35,2
175,175,129,2
63,116,173,1
174,172,124,2
122,125,75,2
36,88,148,1
62,128,193,1
130,169,221,1
121,162,225,1
100,106,159,1
150,150,102,2
168,183,232,1
2,121,254,2
182,180,132,2
35,36,10,2
107,108,66,2
73,83,123,1
142,183,246,1
155,184,229,1
93,149,226,1
102,106,159,1
61,62,18,2
115,117,171,1
184,184,138,2
165,164,114,2
42,84,137,1
170,184,232,1
114,165,227,1
163,161,113,2
102,106,54,2
157,162,123,2
163,162,112,2
200,198,163,2
122,163,212,1
182,179,135,2
76,82,127,1
127,161,227,1
125,160,224,1
141,181,246,1
157,179,221,1
29,33,22,2
128,129,95,2
15,13,3,2
71,133,197,1
107,156,226,1
170,164,121,2
76,82,125,1
145,188,255,1
140,141,101,2
153,189,253,1
163,178,227,1
144,180,250,1
185,181,140,2
83,86,47,2
171,185,238,1
174,172,124,2
155,190,254,1
137,165,230,1
126,129,184,1
84,80,32,2
61,80,147,1
65,130,199,1
151,191,255,1
176,174,126,2
55,60,21,2
38,40,4,2
179,178,134,1
132,136,100,2
177,194,245,1
142,145,96,2
2,183,0,1
204,213,255,1
128,132,250,2
142,139,88,2
123,132,253,2
255,255,255,2
226,108,66,2
196,195,157,2
141,144,95,2
102,150,222,1
172,172,126,2
148,185,229,1
120,123,68,2
151,186,242,1
43,97,157,1
120,121,89,2
110,132,160,1
141,181,246,1
43,85,130,1
51,110,172,1
156,170,219,1
135,173,227,1
144,185,248,1
15,10,7,2
153,196,253,1
130,131,187,1
90,68,247,2
4,2,2,2
11,255,252,2
65,119,180,1
52,56,21,2
149,152,106,2
46,103,155,1
156,159,120,2
94,136,219,1
98,139,224,1
43,93,153,1
185,186,144,2
72,89,138,1
180,177,132,2
160,196,255,1
62,109,171,1
47,87,135,1
51,52,18,2
117,117,57,2
146,186,251,1
50,50,14,2
150,188,252,1
129,136,245,2
158,157,101,2
60,77,128,1
165,165,117,2
109,111,52,2
163,183,240,1
201,200,162,2
60,125,186,1
168,163,114,2
200,198,163,2
54,97,148,1
137,140,91,2
17,8,188,2
79,77,53,2
231,216,76,2
63,68,23,2
116,158,225,1
151,190,252,1
203,202,168,2
114,151,213,1
131,165,219,1
65,68,23,2
185,185,145,2
83,85,33,2
139,179,244,1
16,16,0,2
139,138,80,2
99,100,60,2
175,173,132,2
176,174,126,2
241,247,252,2
129,129,129,2
163,163,115,2
182,218,182,2
80,88,128,1
40,94,154,1
45,51,16,2
64,69,24,2
141,159,218,1
62,63,21,2
20,20,2,2
42,45,13,2
206,215,253,1
0,139,106,2
101,146,220,1
157,197,255,1
56,162,85,2
203,202,168,2
149,189,254,1
173,189,236,1
172,171,121,2
53,107,162,1
62,63,19,2
204,214,254,1
150,167,216,1
157,161,126,2
59,120,186,1
149,165,231,1
102,147,215,1
167,163,114,2
56,57,17,2
210,219,255,1
178,175,131,2
152,150,102,2
116,151,215,1
135,140,89,2
2,0,0,2
176,175,131,2
163,162,112,2
70,82,130,1
179,177,129,2
164,183,228,1
122,156,226,1
15,14,0,2
152,190,254,1
120,70,88,2
165,184,241,1
104,150,221,1
199,197,162,2
172,190,231,1
88,86,38,2
64,67,45,2
147,165,236,1
129,145,174,1
160,164,123,2
173,172,122,2
63,68,23,2
194,193,159,2
156,194,255,1
0,1,0,2
164,164,118,2
23,22,1,2
73,71,17,2
50,50,50,2
122,143,165,1
66,68,22,2
150,171,233,1
69,78,122,1
50,74,132,1
44,95,158,1
97,124,98,2
174,190,233,1
51,101,147,1
42,43,3,2
173,161,107,2
104,159,228,1
92,123,184,1
152,189,227,1
89,140,220,1
125,167,226,1
2,252,255,2
146,186,251,1
176,190,242,1
74,130,185,1
140,139,88,2
180,178,130,2
182,179,135,2
117,154,212,1
7,7,0,2
44,101,157,1
115,114,56,2
113,149,213,1
66,68,48,2
120,162,215,1
140,176,224,1
128,160,226,1
57,54,46,2
53,57,22,2
153,158,119,2
71,80,124,1
39,95,154,1
42,40,9,2
70,127,189,1
71,121,174,1
146,164,229,1
107,110,78,2
97,144,218,1
182,179,135,2
204,203,169,2
54,55,21,2
187,187,147,2
15,14,0,2
59,128,107,2
56,121,182,1
60,118,177,1
30,29,19,2
176,172,131,2
2,0,0,2
59,114,175,1
92,94,42,2
16,15,1,2
177,174,129,2
179,176,131,2
158,187,232,1
151,152,102,2
4,3,0,2
1,75,233,2
166,167,117,2
63,114,176,1
40,71,62,2
178,175,131,2
1,142,109,2
200,199,165,2
96,89,150,2
199,211,253,1
62,148,54,2
8,6,0,2
57,118,184,1
172,188,235,1
160,176,223,1
168,184,231,1
116,118,172,1
151,154,105,2
99,146,220,1
46,170,86,2
182,180,132,2
48,47,13,2
89,122,168,1
84,81,37,2
14,36,11,2
176,174,126,2
212,169,212,2
60,124,189,1
89,91,39,2
179,177,129,2
174,172,124,2
105,103,69,2
255,254,253,2
0,1,1,2
133,180,242,1
199,197,162,2
